feature_index,feature_name,importance,importance_normalized
41,feature_41,0.0021513232,0.26859763
44,feature_44,0.00034847728,0.043508187
40,feature_40,0.0003061258,0.038220506
42,feature_42,0.00028353708,0.035400257
43,feature_43,0.0002002468,0.02500127
21,feature_21,0.00017238587,0.021522772
29,feature_29,0.00016845213,0.021031635
5,feature_5,0.00016843858,0.021029944
10,feature_10,0.00016147621,0.020160675
22,feature_22,0.00015453437,0.01929397
23,feature_23,0.00015435008,0.019270962
26,feature_26,0.00014871788,0.018567769
39,feature_39,0.00014212656,0.017744828
15,feature_15,0.0001383917,0.01727852
31,feature_31,0.00013719079,0.017128585
33,feature_33,0.00013509465,0.016866878
1,feature_1,0.00012444399,0.015537118
13,feature_13,0.00012363648,0.015436297
24,feature_24,0.00012286974,0.0153405685
36,feature_36,0.00012039749,0.015031902
17,feature_17,0.00011808447,0.014743117
7,feature_7,0.00011679107,0.014581633
12,feature_12,0.00011559474,0.014432268
20,feature_20,0.000114238734,0.014262968
2,feature_2,0.00011417052,0.014254452
35,feature_35,0.00011386239,0.014215981
18,feature_18,0.00011291562,0.014097774
14,feature_14,0.00011216181,0.01400366
32,feature_32,0.000111724614,0.013949074
37,feature_37,0.00010770006,0.0134466
27,feature_27,0.00010571112,0.013198276
8,feature_8,0.000105424566,0.013162498
0,feature_0,0.000103231665,0.01288871
16,feature_16,0.000102678365,0.012819629
4,feature_4,0.00010118795,0.012633547
34,feature_34,0.00010070763,0.012573578
30,feature_30,9.824797e-05,0.012266484
25,feature_25,9.548542e-05,0.011921573
11,feature_11,9.459498e-05,0.0118104
3,feature_3,9.1180096e-05,0.011384044
9,feature_9,8.834448e-05,0.011030011
28,feature_28,8.60459e-05,0.010743028
6,feature_6,8.408357e-05,0.010498026
19,feature_19,8.227586e-05,0.01027233
38,feature_38,7.080336e-05,0.008839962
